State  Recv-Q Send-Q               Local Address:Port  Peer Address:PortProcess
LISTEN 0      4096                 100.94.30.114:62823      0.0.0.0:*          
LISTEN 0      511                      127.0.0.1:6379       0.0.0.0:*          
LISTEN 0      128                      127.0.0.1:8080       0.0.0.0:*          
LISTEN 0      511                        0.0.0.0:80         0.0.0.0:*          
LISTEN 0      4096                       0.0.0.0:22         0.0.0.0:*          
LISTEN 0      1024                 192.168.2.216:3478       0.0.0.0:*          
LISTEN 0      1024                 192.168.2.216:3478       0.0.0.0:*          
LISTEN 0      1024                 192.168.2.216:3478       0.0.0.0:*          
LISTEN 0      1024                 192.168.2.216:3478       0.0.0.0:*          
LISTEN 0      4096                    127.0.0.54:53         0.0.0.0:*          
LISTEN 0      4096                 127.0.0.53%lo:53         0.0.0.0:*          
LISTEN 0      1024                     127.0.0.1:3478       0.0.0.0:*          
LISTEN 0      1024                     127.0.0.1:3478       0.0.0.0:*          
LISTEN 0      1024                     127.0.0.1:3478       0.0.0.0:*          
LISTEN 0      1024                     127.0.0.1:3478       0.0.0.0:*          
LISTEN 0      80                       127.0.0.1:3306       0.0.0.0:*          
LISTEN 0      4096   [fd7a:115c:a1e0::2001:1e87]:39545         [::]:*          
LISTEN 0      4096                             *:9090             *:*          
LISTEN 0      4096                             *:9100             *:*          
LISTEN 0      4096                          [::]:22            [::]:*          
LISTEN 0      511                          [::1]:6379          [::]:*          
LISTEN 0      1024                         [::1]:3478          [::]:*          
LISTEN 0      1024                         [::1]:3478          [::]:*          
LISTEN 0      1024                         [::1]:3478          [::]:*          
LISTEN 0      1024                         [::1]:3478          [::]:*          
